Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  88",-1.766969961163e-01,1.489257325555e-01,-5.951631105487e-07,-1.738687970659e-01,1.532367233076e-01,-2.131531884953e-06,2.828199050323e-03,4.310990752111e-03,-1.536368774405e-06
"                  89",-1.790079569389e-01,1.505669495468e-01,-6.004923798301e-07,-1.761574309849e-01,1.548940338139e-01,-1.466919868805e-06,2.850525954024e-03,4.327084267155e-03,-8.664274889746e-07
"                  90",-1.808507471963e-01,1.518295845083e-01,-6.046968410875e-07,-1.779801045674e-01,1.561683367913e-01,-1.088991230798e-06,2.870642628950e-03,4.338752283017e-03,-4.842943897106e-07
"                  91",-1.821949250720e-01,1.527203091337e-01,-6.065563627599e-07,-1.793104801205e-01,1.570621158765e-01,-1.276161272949e-06,2.884444951491e-03,4.341806742729e-03,-6.696049101895e-07
"                  92",-1.828879955626e-01,1.531363431057e-01,-6.089758888078e-07,-1.799951337178e-01,1.574722161473e-01,-1.542445672564e-06,2.892861844734e-03,4.335873041641e-03,-9.334697837561e-07
"                  93",-1.827976651287e-01,1.529625183796e-01,-6.129377040280e-07,-1.798984033229e-01,1.572896780293e-01,-1.874346988577e-06,2.899261805780e-03,4.327159649670e-03,-1.261409284549e-06
"                  94",-1.818918044583e-01,1.521249613300e-01,-6.165441189110e-07,-1.789872686816e-01,1.564427859675e-01,-2.352887729051e-06,2.904535776742e-03,4.317824637477e-03,-1.736343610140e-06
"                  95",-1.802560247989e-01,1.506569858730e-01,-6.191096407606e-07,-1.773478426031e-01,1.549656350750e-01,-2.564477549057e-06,2.908182195722e-03,4.308649201997e-03,-1.945367908297e-06
"                  96",-1.781399947635e-01,1.487706768807e-01,-6.196510772459e-07,-1.752300307131e-01,1.530722129443e-01,-2.452440651859e-06,2.909964050417e-03,4.301536063637e-03,-1.832789574613e-06
"                  97",-1.758473740803e-01,1.467563409230e-01,-6.176075142374e-07,-1.729367977975e-01,1.510545603227e-01,-2.322670284490e-06,2.910576282768e-03,4.298219399779e-03,-1.705062770253e-06
