Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                 100",-3.785259878457e-01,2.407066202026e+01,-2.130032817903e-06,-1.890462533080e-01,2.409298670099e+01,-6.452548469649e-05,1.894797345376e-01,2.232468072957e-02,-6.239545187859e-05
"                 101",-3.944516245906e-01,2.382660011958e+01,-2.257122676430e-06,-2.042985940526e-01,2.384875559032e+01,-5.852419035421e-05,1.901530305380e-01,2.215547074169e-02,-5.626706767778e-05
"                 102",-4.125589401684e-01,2.351580756969e+01,-2.396490471315e-06,-2.215213315161e-01,2.353777973448e+01,-5.466410401256e-05,1.910376086522e-01,2.197216478970e-02,-5.226761354125e-05
"                 103",-4.309443872142e-01,2.316146020152e+01,-2.585628613568e-06,-2.387966455104e-01,2.318325379862e+01,-4.958332366804e-05,1.921477417038e-01,2.179359709133e-02,-4.699769505448e-05
"                 104",-4.502256591774e-01,2.276842186293e+01,-2.910517492516e-06,-2.567168366754e-01,2.279004464374e+01,-4.669551884470e-05,1.935088225020e-01,2.162278080621e-02,-4.378500135218e-05
"                 105",-4.707301295469e-01,2.232320918455e+01,-3.404834245018e-06,-2.756340353723e-01,2.234466357379e+01,-4.843228320212e-05,1.950960941746e-01,2.145438924423e-02,-4.502744895711e-05
"                 106",-4.894249903254e-01,2.187223384312e+01,-3.931388547649e-06,-2.925265276596e-01,2.189350494029e+01,-5.177274076144e-05,1.968984626659e-01,2.127109717442e-02,-4.784135221379e-05
"                 107",-5.066046745971e-01,2.144214483080e+01,-4.491731181779e-06,-3.076859787284e-01,2.146320080623e+01,-6.405246942237e-05,1.989186958687e-01,2.105597543539e-02,-5.956073824059e-05
"                 108",-5.242290468132e-01,2.104272139190e+01,-4.939762998755e-06,-3.230703049653e-01,2.106354221327e+01,-8.105355572688e-05,2.011587418479e-01,2.082082136627e-02,-7.611379272813e-05
"                 109",-5.417202562276e-01,2.067168800973e+01,-5.098940445021e-06,-3.381850870453e-01,2.069227725023e+01,-8.357727820132e-05,2.035351691824e-01,2.058924050551e-02,-7.847833775630e-05
"                 110",-5.571100235738e-01,2.036074800147e+01,-4.943158939875e-06,-3.510783381432e-01,2.038114068741e+01,-8.946923972931e-05,2.060316854306e-01,2.039268594313e-02,-8.452608078944e-05
"                 111",-5.672628327196e-01,2.017958730160e+01,-4.508729739360e-06,-3.587137327242e-01,2.019981802269e+01,-9.567690215663e-05,2.085490999954e-01,2.023072109061e-02,-9.116817241727e-05
"                 112",-5.737072055678e-01,2.013253893946e+01,-3.965472024094e-06,-3.626871598331e-01,2.015262130584e+01,-1.035409579924e-04,2.110200457347e-01,2.008236638273e-02,-9.957548596834e-05
"                 113",-5.813691951749e-01,2.014853981484e+01,-3.413916082169e-06,-3.680596430517e-01,2.016849568143e+01,-1.146579668616e-04,2.133095521232e-01,1.995586659244e-02,-1.112440507794e-04
"                 114",-5.904879332292e-01,2.018642439525e+01,-3.027555760193e-06,-3.751887329425e-01,2.020630835554e+01,-1.272962933770e-04,2.152992002867e-01,1.988396029477e-02,-1.242687376168e-04
"                 115",-5.981821409354e-01,2.024343562464e+01,-2.796548095063e-06,-3.812430395064e-01,2.026330498291e+01,-1.443769654227e-04,2.169391014290e-01,1.986935827104e-02,-1.415804173276e-04
"                 116",-6.022543294714e-01,2.034496262797e+01,-2.567063556468e-06,-3.840240341096e-01,2.036487816504e+01,-1.578688850711e-04,2.182302953618e-01,1.991553706859e-02,-1.553018215146e-04
